[key]; [value]
Version; 0x03050000
Name; Application.Trace
ApplicationName; Application
ApplicationDataGuid; 00000000-0000-0000-0000-000000000000
IecTaskName; MainTask
Comment; 
Trigger.Flags; 0
Condition.Name; 
Condition.AddrFlags; 0x00000000
Condition.Class; 0
Condition.Size; 0
EveryNCycles; 1
BufferEntries; 100
Flags; 16
0.Variable; PLC_PRG.lrAGVPos
0.Address.AddrFlags; 0x00000000
0.Class; 15
0.Size; 8
0.GraphColor; 4278190335
0.GraphType; 1
0.MinWarningColor; 4278190080
0.MaxWarningColor; 4294901760
0.CriticalLowerLimit; 0
0.CriticalUpperLimit; 0
0.ActivateMinWarning; 0
0.ActivateMaxWarning; 0
0.YAxis; 0
0.Data; 
; 8371; 1260.325
; 8402; 1262.325
; 8433; 1264.325
; 8464; 1266.325
; 8495; 1268.325
; 8525; 1270.325
1.Variable; PLC_PRG.lrAGVSpeed
1.Address.AddrFlags; 0x00000000
1.Class; 15
1.Size; 8
1.GraphColor; 4278222848
1.GraphType; 1
1.MinWarningColor; 4278190080
1.MaxWarningColor; 4294901760
1.CriticalLowerLimit; 0
1.CriticalUpperLimit; 0
1.ActivateMinWarning; 0
1.ActivateMaxWarning; 0
1.YAxis; 0
1.Data; 
; 18; 200
; 48; 200
; 79; 200
; 111; 200
; 142; 200
; 172; 200
; 202; 200
; 232; 200
; 262; 200
; 292; 200
; 322; 200
; 352; 200
; 384; 200
; 414; 200
; 444; 200
; 475; 200
; 505; 200
; 535; 200
; 565; 200
; 595; 200
; 626; 200
; 657; 200
; 689; 200
; 719; 200
; 750; 200
; 780; 200
; 810; 200
; 840; 200
; 871; 200
; 900; 200
; 931; 200
; 963; 200
; 993; 200
; 1023; 200
; 1054; 200
; 1086; 200
; 1116; 200
; 1147; 200
; 1177; 200
; 1207; 200
; 1238; 200
; 1268; 200
; 1299; 200
; 1330; 200
; 1361; 200
; 1392; 200
; 1423; 200
; 1454; 200
; 1484; 200
; 1515; 200
; 1546; 200
; 1577; 200
; 1608; 200
; 1640; 200
; 1670; 200
; 1701; 200
; 1731; 200
; 1761; 200
; 1791; 200
; 1821; 200
; 1852; 200
; 1884; 200
; 1914; 200
; 1946; 200
; 1977; 200
; 2008; 200
; 2040; 200
; 2070; 200
; 2100; 200
; 2130; 200
; 2161; 200
; 2191; 200
; 2223; 200
; 2253; 200
; 2284; 200
; 2314; 200
; 2344; 200
; 2375; 200
; 2405; 200
; 2436; 200
; 2466; 200
; 2496; 200
; 2528; 200
; 2558; 200
; 2588; 200
; 2619; 200
; 2651; 200
; 2682; 200
; 2713; 200
; 2743; 200
; 2775; 200
; 2805; 200
; 2835; 200
; 2866; 200
; 2898; 200
; 2928; 200
; 2959; 200
; 2989; 200
; 3019; 200
; 3049; 200
; 3081; 200
; 3111; 200
; 3142; 200
; 3173; 200
; 3203; 200
; 3234; 200
; 3265; 200
; 3296; 200
; 3326; 200
; 3357; 200
; 3387; 200
; 3417; 200
; 3448; 200
; 3478; 200
; 3508; 200
; 3539; 200
; 3569; 200
; 3599; 200
; 3629; 200
; 3659; 200
; 3690; 200
; 3721; 200
; 3751; 200
; 3781; 200
; 3812; 200
; 3842; 200
; 3874; 200
; 3904; 200
; 3934; 200
; 3964; 200
; 3995; 200
; 4025; 200
; 4056; 200
; 4087; 200
; 4117; 200
; 4148; 200
; 4179; 200
; 4209; 200
; 4239; 200
; 4269; 200
; 4299; 200
; 4330; 200
; 4361; 200
; 4392; 200
; 4423; 200
; 4453; 200
; 4484; 200
; 4514; 200
; 4545; 200
; 4575; 200
; 4605; 200
; 4635; 200
; 4667; 200
; 4698; 200
; 4728; 200
; 4759; 200
; 4790; 200
; 4821; 200
; 4851; 200
; 4882; 200
; 4913; 200
; 4943; 200
; 4975; 200
; 5006; 200
; 5036; 200
; 5068; 200
; 5099; 200
; 5129; 200
; 5159; 200
; 5189; 200
; 5219; 200
; 5250; 200
; 5282; 200
; 5311; 200
; 5341; 200
; 5371; 200
; 5403; 200
; 5434; 200
; 5465; 200
; 5495; 200
; 5526; 200
; 5557; 200
; 5588; 200
; 5618; 200
; 5650; 200
; 5681; 200
; 5711; 200
; 5742; 200
; 5772; 200
; 5803; 200
; 5835; 200
; 5866; 200
; 5896; 200
; 5926; 200
; 5956; 200
; 5986; 200
; 6018; 200
; 6048; 200
; 6078; 200
; 6108; 200
; 6138; 200
; 6170; 200
; 6201; 200
; 6231; 200
; 6262; 200
; 6293; 200
; 6323; 200
; 6354; 200
; 6385; 200
; 6415; 200
; 6445; 200
; 6475; 200
; 6505; 200
; 6537; 200
; 6568; 200
; 6599; 200
; 6629; 200
; 6660; 200
; 6691; 200
; 6722; 200
; 6752; 200
; 6783; 200
; 6813; 200
; 6845; 200
; 6877; 200
; 6907; 200
; 6938; 200
; 6968; 200
; 6998; 200
; 7029; 200
; 7059; 200
; 7089; 200
; 7119; 200
; 7149; 200
; 7180; 200
; 7210; 200
; 7241; 200
; 7273; 200
; 7304; 200
; 7334; 200
; 7364; 200
; 7394; 200
; 7425; 200
; 7456; 200
; 7487; 200
; 7517; 200
; 7547; 200
; 7577; 200
; 7607; 200
; 7639; 200
; 7670; 200
; 7700; 200
; 7729; 200
; 7760; 200
; 7790; 200
; 7821; 200
; 7853; 200
; 7884; 200
; 7914; 200
; 7944; 200
; 7975; 200
; 8005; 200
; 8035; 200
; 8065; 200
; 8095; 200
; 8125; 200
; 8155; 200
; 8187; 200
; 8216; 200
; 8248; 200
; 8280; 200
; 8311; 200
; 8341; 200
; 8371; 200
; 8402; 200
; 8433; 200
; 8464; 200
; 8495; 200
; 8525; 200
2.Variable; PLC_PRG.uiTranspID
2.Address.AddrFlags; 0x00000000
2.Class; 11
2.Size; 2
2.GraphColor; 4289014314
2.GraphType; 1
2.MinWarningColor; 4278190080
2.MaxWarningColor; 4294901760
2.CriticalLowerLimit; 0
2.CriticalUpperLimit; 0
2.ActivateMinWarning; 0
2.ActivateMaxWarning; 0
2.YAxis; 0
2.Data; 
; 18; 1000
; 48; 1000
; 79; 1000
; 111; 1000
; 142; 1000
; 172; 1000
; 202; 1000
; 232; 1000
; 262; 1000
; 292; 1000
; 322; 1000
; 352; 1000
; 384; 1000
; 414; 1000
; 444; 1000
; 475; 1000
; 505; 1000
; 535; 1000
; 565; 1000
; 595; 1000
; 626; 1000
; 657; 1000
; 689; 1000
; 719; 1000
; 750; 1000
; 780; 1000
; 810; 1000
; 840; 1000
; 871; 1000
; 900; 1000
; 931; 1000
; 963; 1000
; 993; 1000
; 1023; 1000
; 1054; 1000
; 1086; 1000
; 1116; 1000
; 1147; 1000
; 1177; 1000
; 1207; 1000
; 1238; 1000
; 1268; 1000
; 1299; 1000
; 1330; 1000
; 1361; 1000
; 1392; 1000
; 1423; 1000
; 1454; 1000
; 1484; 1000
; 1515; 1000
; 1546; 1000
; 1577; 1000
; 1608; 1000
; 1640; 1000
; 1670; 1000
; 1701; 1000
; 1731; 1000
; 1761; 1000
; 1791; 1000
; 1821; 1000
; 1852; 1000
; 1884; 1000
; 1914; 1000
; 1946; 1000
; 1977; 1000
; 2008; 1000
; 2040; 1000
; 2070; 1000
; 2100; 1000
; 2130; 1000
; 2161; 1000
; 2191; 1000
; 2223; 1000
; 2253; 1000
; 2284; 1000
; 2314; 1000
; 2344; 1000
; 2375; 1000
; 2405; 1000
; 2436; 1000
; 2466; 1000
; 2496; 1000
; 2528; 1000
; 2558; 1000
; 2588; 1000
; 2619; 1000
; 2651; 1000
; 2682; 1000
; 2713; 1000
; 2743; 1000
; 2775; 1000
; 2805; 1000
; 2835; 1000
; 2866; 1000
; 2898; 1000
; 2928; 1000
; 2959; 1000
; 2989; 1000
; 3019; 1000
; 3049; 1000
; 3081; 1000
; 3111; 1000
; 3142; 1000
; 3173; 1000
; 3203; 1000
; 3234; 1000
; 3265; 1000
; 3296; 1000
; 3326; 1000
; 3357; 1000
; 3387; 1000
; 3417; 1000
; 3448; 1000
; 3478; 1000
; 3508; 1000
; 3539; 1000
; 3569; 1000
; 3599; 1000
; 3629; 1000
; 3659; 1000
; 3690; 1000
; 3721; 1000
; 3751; 1000
; 3781; 1000
; 3812; 1000
; 3842; 1000
; 3874; 1000
; 3904; 1000
; 3934; 1000
; 3964; 1000
; 3995; 1000
; 4025; 1000
; 4056; 1000
; 4087; 1000
; 4117; 1000
; 4148; 1000
; 4179; 1000
; 4209; 1000
; 4239; 1000
; 4269; 1000
; 4299; 1000
; 4330; 1000
; 4361; 1000
; 4392; 1000
; 4423; 1000
; 4453; 1000
; 4484; 1000
; 4514; 1000
; 4545; 1000
; 4575; 1000
; 4605; 1000
; 4635; 1000
; 4667; 1000
; 4698; 1000
; 4728; 1000
; 4759; 1000
; 4790; 1000
; 4821; 1000
; 4851; 1000
; 4882; 1000
; 4913; 1000
; 4943; 1000
; 4975; 1000
; 5006; 1000
; 5036; 1000
; 5068; 1000
; 5099; 1000
; 5129; 1000
; 5159; 1000
; 5189; 1000
; 5219; 1000
; 5250; 1000
; 5282; 1000
; 5311; 1000
; 5341; 1000
; 5371; 1000
; 5403; 1000
; 5434; 1000
; 5465; 1000
; 5495; 1000
; 5526; 1000
; 5557; 1000
; 5588; 1000
; 5618; 1000
; 5650; 1000
; 5681; 1000
; 5711; 1000
; 5742; 1000
; 5772; 1000
; 5803; 1000
; 5835; 1000
; 5866; 1000
; 5896; 1000
; 5926; 1000
; 5956; 1000
; 5986; 1000
; 6018; 1000
; 6048; 1000
; 6078; 1000
; 6108; 1000
; 6138; 1000
; 6170; 1000
; 6201; 1000
; 6231; 1000
; 6262; 1000
; 6293; 1000
; 6323; 1000
; 6354; 1000
; 6385; 1000
; 6415; 1000
; 6445; 1000
; 6475; 1000
; 6505; 1000
; 6537; 1000
; 6568; 1000
; 6599; 1000
; 6629; 1000
; 6660; 1000
; 6691; 1000
; 6722; 1000
; 6752; 1000
; 6783; 1000
; 6813; 1000
; 6845; 1000
; 6877; 1000
; 6907; 1000
; 6938; 1000
; 6968; 1000
; 6998; 1000
; 7029; 1000
; 7059; 1000
; 7089; 1000
; 7119; 1000
; 7149; 1000
; 7180; 1000
; 7210; 1000
; 7241; 1000
; 7273; 1000
; 7304; 1000
; 7334; 1000
; 7364; 1000
; 7394; 1000
; 7425; 1000
; 7456; 1000
; 7487; 1000
; 7517; 1000
; 7547; 1000
; 7577; 1000
; 7607; 1000
; 7639; 1000
; 7670; 1000
; 7700; 1000
; 7729; 1000
; 7760; 1000
; 7790; 1000
; 7821; 1000
; 7853; 1000
; 7884; 1000
; 7914; 1000
; 7944; 1000
; 7975; 1000
; 8005; 1000
; 8035; 1000
; 8065; 1000
; 8095; 1000
; 8125; 1000
; 8155; 1000
; 8187; 1000
; 8216; 1000
; 8248; 1000
; 8280; 1000
; 8311; 1000
; 8341; 1000
; 8371; 1000
; 8402; 1000
; 8433; 1000
; 8464; 1000
; 8495; 1000
; 8525; 1000
3.Variable; PLC_PRG.lrSetSpeed
3.Address.AddrFlags; 0x00000000
3.Class; 15
3.Size; 8
3.GraphColor; 4286611584
3.GraphType; 1
3.MinWarningColor; 4278190080
3.MaxWarningColor; 4294901760
3.CriticalLowerLimit; 0
3.CriticalUpperLimit; 0
3.ActivateMinWarning; 0
3.ActivateMaxWarning; 0
3.YAxis; 0
3.Data; 
; 18; 200
; 48; 200
; 79; 200
; 111; 200
; 142; 200
; 172; 200
; 202; 200
; 232; 200
; 262; 200
; 292; 200
; 322; 200
; 352; 200
; 384; 200
; 414; 200
; 444; 200
; 475; 200
; 505; 200
; 535; 200
; 565; 200
; 595; 200
; 626; 200
; 657; 200
; 689; 200
; 719; 200
; 750; 200
; 780; 200
; 810; 200
; 840; 200
; 871; 200
; 900; 200
; 931; 200
; 963; 200
; 993; 200
; 1023; 200
; 1054; 200
; 1086; 200
; 1116; 200
; 1147; 200
; 1177; 200
; 1207; 200
; 1238; 200
; 1268; 200
; 1299; 200
; 1330; 200
; 1361; 200
; 1392; 200
; 1423; 200
; 1454; 200
; 1484; 200
; 1515; 200
; 1546; 200
; 1577; 200
; 1608; 200
; 1640; 200
; 1670; 200
; 1701; 200
; 1731; 200
; 1761; 200
; 1791; 200
; 1821; 200
; 1852; 200
; 1884; 200
; 1914; 200
; 1946; 200
; 1977; 200
; 2008; 200
; 2040; 200
; 2070; 200
; 2100; 200
; 2130; 200
; 2161; 200
; 2191; 200
; 2223; 200
; 2253; 200
; 2284; 200
; 2314; 200
; 2344; 200
; 2375; 200
; 2405; 200
; 2436; 200
; 2466; 200
; 2496; 200
; 2528; 200
; 2558; 200
; 2588; 200
; 2619; 200
; 2651; 200
; 2682; 200
; 2713; 200
; 2743; 200
; 2775; 200
; 2805; 200
; 2835; 200
; 2866; 200
; 2898; 200
; 2928; 200
; 2959; 200
; 2989; 200
; 3019; 200
; 3049; 200
; 3081; 200
; 3111; 200
; 3142; 200
; 3173; 200
; 3203; 200
; 3234; 200
; 3265; 200
; 3296; 200
; 3326; 200
; 3357; 200
; 3387; 200
; 3417; 200
; 3448; 200
; 3478; 200
; 3508; 200
; 3539; 200
; 3569; 200
; 3599; 200
; 3629; 200
; 3659; 200
; 3690; 200
; 3721; 200
; 3751; 200
; 3781; 200
; 3812; 200
; 3842; 200
; 3874; 200
; 3904; 200
; 3934; 200
; 3964; 200
; 3995; 200
; 4025; 200
; 4056; 200
; 4087; 200
; 4117; 200
; 4148; 200
; 4179; 200
; 4209; 200
; 4239; 200
; 4269; 200
; 4299; 200
; 4330; 200
; 4361; 200
; 4392; 200
; 4423; 200
; 4453; 200
; 4484; 200
; 4514; 200
; 4545; 200
; 4575; 200
; 4605; 200
; 4635; 200
; 4667; 200
; 4698; 200
; 4728; 200
; 4759; 200
; 4790; 200
; 4821; 200
; 4851; 200
; 4882; 200
; 4913; 200
; 4943; 200
; 4975; 200
; 5006; 200
; 5036; 200
; 5068; 200
; 5099; 200
; 5129; 200
; 5159; 200
; 5189; 200
; 5219; 200
; 5250; 200
; 5282; 200
; 5311; 200
; 5341; 200
; 5371; 200
; 5403; 200
; 5434; 200
; 5465; 200
; 5495; 200
; 5526; 200
; 5557; 200
; 5588; 200
; 5618; 200
; 5650; 200
; 5681; 200
; 5711; 200
; 5742; 200
; 5772; 200
; 5803; 200
; 5835; 200
; 5866; 200
; 5896; 200
; 5926; 200
; 5956; 200
; 5986; 200
; 6018; 200
; 6048; 200
; 6078; 200
; 6108; 200
; 6138; 200
; 6170; 200
; 6201; 200
; 6231; 200
; 6262; 200
; 6293; 200
; 6323; 200
; 6354; 200
; 6385; 200
; 6415; 200
; 6445; 200
; 6475; 200
; 6505; 200
; 6537; 200
; 6568; 200
; 6599; 200
; 6629; 200
; 6660; 200
; 6691; 200
; 6722; 200
; 6752; 200
; 6783; 200
; 6813; 200
; 6845; 200
; 6877; 200
; 6907; 200
; 6938; 200
; 6968; 200
; 6998; 200
; 7029; 200
; 7059; 200
; 7089; 200
; 7119; 200
; 7149; 200
; 7180; 200
; 7210; 200
; 7241; 200
; 7273; 200
; 7304; 200
; 7334; 200
; 7364; 200
; 7394; 200
; 7425; 200
; 7456; 200
; 7487; 200
